E_1 / keV,N_1
-0.06,0
0,0
0.06,0
0.13,0
0.19,11
0.26,0
0.32,0
0.38,0
0.45,0
0.51,0
0.58,0
0.64,0
0.7,0
0.77,0
0.83,0
0.9,0
0.96,0
1.02,0
1.09,0
1.15,0
1.22,0
1.28,0
1.34,0
1.41,0
1.47,0
1.54,0
1.6,0
1.66,0
1.73,0
1.79,0
1.86,0
1.92,0
1.98,0
2.05,0
2.11,0
2.18,1
2.24,2
2.3,4
2.37,7
2.43,4
2.5,6
2.56,19
2.62,9
2.69,4
2.75,12
2.82,8
2.88,5
2.94,8
3.01,11
3.07,4
3.14,7
3.2,11
3.26,8
3.33,10
3.39,16
3.46,17
3.52,15
3.58,12
3.65,14
3.71,13
3.78,7
3.84,17
3.9,14
3.97,11
4.03,8
4.1,12
4.16,16
4.22,13
4.29,11
4.35,12
4.42,14
4.48,18
4.54,17
4.61,16
4.67,12
4.74,5
4.8,10
4.86,14
4.93,14
4.99,9
5.06,13
5.12,17
5.18,9
5.25,15
5.31,13
5.38,7
5.44,10
5.5,15
5.57,8
5.63,12
5.7,14
5.76,22
5.82,15
5.89,22
5.95,16
6.02,18
6.08,19
6.14,26
6.21,28
6.27,30
6.34,45
6.4,42
6.46,51
6.53,26
6.59,36
6.66,23
6.72,20
6.78,17
6.85,13
6.91,24
6.98,27
7.04,30
7.1,22
7.17,24
7.23,15
7.3,29
7.36,33
7.42,29
7.49,32
7.55,43
7.62,92
7.68,175
7.74,322
7.81,654
7.87,1123
7.94,1678
8,2171
8.06,2418
8.13,2306
8.19,1907
8.26,1363
8.32,808
8.38,456
8.45,201
8.51,100
8.58,72
8.64,94
8.7,130
8.77,226
8.83,273
8.9,312
8.96,330
9.02,303
9.09,218
9.15,150
9.22,84
9.28,40
9.34,22
9.41,6
9.47,6
9.54,1
9.6,2
9.66,0
9.73,0
9.79,0
9.86,2
9.92,0
9.98,0
10.05,0
10.11,1
10.18,1
10.24,0
10.3,0
10.37,0
10.43,0
10.5,0
10.56,0
10.62,0
10.69,0
10.75,0
10.82,0
10.88,0
10.94,1
11.01,0
11.07,1
11.14,0
11.2,0
11.26,0
11.33,1
11.39,1
11.46,0
11.52,1
11.58,1
11.65,0
11.71,1
11.78,1
11.84,1
11.9,1
11.97,0
12.03,2
12.1,0
12.16,2
12.22,2
12.29,0
12.35,2
12.42,7
12.48,3
12.54,0
12.61,0
12.67,2
12.74,3
12.8,2
12.86,2
12.93,1
12.99,1
13.06,2
13.12,0
13.18,2
13.25,4
13.31,2
13.38,1
13.44,1
13.5,2
13.57,1
13.63,1
13.7,0
13.76,0
13.82,1
13.89,0
13.95,1
14.02,1
14.08,1
14.14,0
14.21,1
14.27,0
14.34,2
14.4,1
14.46,1
14.53,1
14.59,2
14.66,0
14.72,0
14.78,0
14.85,0
14.91,0
14.98,1
15.04,1
15.1,2
15.17,1
15.23,0
15.3,1
15.36,0
15.42,2
15.49,0
15.55,1
15.62,0
15.68,0
15.74,2
15.81,0
15.87,0
15.94,2
16,0
16.06,2
16.13,1
16.19,0
16.26,80
